type,address,postcode,suburb,lat,lon,internal_postcode
Woolworths,Blue Gum Rd,Jesmond,2299,-32.90115,151.69128,1211
Woolworths,39-41 Port Stephens Cnr Glenelg St,Raymond Terrace,2324,-32.76025,151.74424,1365
Woolworths,Bagnalls Beach Rd,Salamander Bay,2317,-32.73404,152.10999,1262
Woolworths,Cnr Port Stephens And Bourke Sts MarketPl,Raymond Terrace,2324,-32.7614,151.74224,1365
Woolworths,23 Steel St,Newcastle West,2302,-32.92893,151.76348,1219
Woolworths,39-47 Ferodale Rd,Medowie,2318,-32.74125,151.8681,1267
Woolworths,3 Angophora Dr,Warabrook,2304,-32.88643,151.71928,1230
Woolworths,Cnr Stockton St & Donald St,Nelson Bay,2315,-32.72193,152.14353,1254
Woolworths,"Cessnock Plaza, Cnr Keene & Cooper St",Cessnock,2325,-32.83529,151.35452,1377
Woolworths,"Pender Pl Shop. Ctr, Cnr Church & Elgin St",Maitland,2320,-32.73226,151.55338,1289
Woolworths,1 Gowrie St,Singleton,2330,-32.5673,151.16496,1475
Woolworths,"Stockland Centre, 1 Molly Morgan Dr",East Maitland,2323,-32.76134,151.59264,1339
Woolworths,Cnr Alexandra Ave And Hillview St,Rutherford,2320,-32.71507,151.52568,1300
Woolworths,Cnr Brook & Sowerby St,Muswellbrook,2333,-32.26026,150.89182,1496
Woolworths,35 Main St,Scone,2337,-32.04782,150.86877,1536
Woolworths,Cnr Lawson & Newton St,Beresfield,2322,-32.80123,151.65774,1325
Woolworths,Cnr Aberglasslyn and McKeachie Dr,Aberglasslyn,2320,-32.69801,151.54192,1275
Woolworths,119 - 129 Conadilly St,Gunnedah,2380,-30.97681,150.25008,1839
Woolworths,35 Dalgarno St,Coonabarabran,2357,-31.27336,149.2759,1694
Woolworths,Cnr William And Denne St,Tamworth,2340,-31.09007,150.91923,1593
Woolworths,Cnr Jessie And Beardy Sts,Armidale,2350,-30.51131,151.65875,1650
Woolworths,181-189 Maitland St,Narrabri,2390,-30.32244,149.781,1877
Woolworths,215 Balo St,Moree,2400,-29.46724,149.84075,1899
Woolworths,502 - 504 Peel St,Tamworth,2340,-31.09693,150.93649,1593
Woolworths,Cnr Pacific Hwy And Park Beach Rd,Coffs Harbour,2450,-30.28246,153.12844,2338
Woolworths,"Centro Shop. Ctr, Toormina Rd",Toormina,2452,-30.35952,153.08469,2356
Woolworths,7 Park Ave,Coffs Harbour,2450,-30.29788,153.1148,2338
Woolworths,Cnr Wentworth And Grey Sts,Glen Innes,2370,-29.73693,151.73589,1783
Woolworths,Cnr Fraser And Back Sts,Nambucca Heads,2448,-30.64439,153.00295,2322
Woolworths,"Cnr Pacific Hwy, Pullen & Mackay Sts",Woolgoolga,2456,-30.09813,153.16912,2402
Woolworths,Cnr Vivian And Sweaney Sts,Inverell,2360,-29.77106,151.11376,1726
Woolworths,Cnr Boundary St and Giinagay Way,Macksville,2447,-30.71324,152.92155,2308
Woolworths,42 Duke St,Grafton,2460,-29.68976,152.93695,2441
Woolworths,Cnr Forth And Smith Sts,Kempsey,2440,-31.09381,152.82078,2181
Woolworths,Cnr The Lakes Way And Breese Pde,Forster,2428,-32.24773,152.5383,2061
Woolworths,Cnr Bay And Park Sts,Port Macquarie,2444,-31.42917,152.89227,2252
Woolworths,Cnr Albert Stokes And Manning Sts,Taree,2430,-31.91189,152.45924,2140
Woolworths,10 Botanic Dr,Lakewood,2443,-31.63509,152.75547,2237
Woolworths,Lot 2 Ocean Dr,Lake Cathie,2445,-31.5564,152.85193,2261
Woolworths,111 - 115 Church St,Gloucester,2422,-32.01015,151.95814,1994
Woolworths,Cnr Peel and Kent St,Tuncurry,2428,-32.17658,152.49939,2070
Woolworths,"Atherton Shop. Vge, Cook St",Atherton,4883,-17.26374,145.48056,11625
Woolworths,103 Abbott St,Cairns,4870,-16.92237,145.77716,11416
Woolworths,"Stocklands Shoppingtown, 537 Mulgrave Rd",Earlville,4870,-16.94421,145.74009,11422
Woolworths,63 Front St,Mossman,4873,-16.46531,145.37252,11549
Woolworths,106 Barnard Dr,Mt Sheridan,4868,-16.99033,145.74047,11407
Woolworths,"Festival Fair Shop. Ctr, 1 Koch St",Manunda,4870,-16.92558,145.74003,11430
Woolworths,Cnr Redlynch Connection And Larsen Rd,Redlynch,4870,-16.89515,145.70019,11436
Woolworths,Cnr Captain Cook and Kennedy Hwys,Smithfield,4878,-16.82965,145.69311,11606
Woolworths,Cnr Central Ave and Kerr Point Dr,Weipa,4874,-12.66119,141.85181,11571
Woolworths,Cnr Woolcock St And Kings Rd,Pimlico,4812,-19.27114,146.79262,11073
Woolworths,124 Charters Towers Rd,Hermit Park,4812,-19.27732,146.80038,11068
Woolworths,29 Ann St,Ingham,4850,-18.64846,146.16211,9332
Woolworths,Cnr Mcgowan Dr And Rankin St,Innisfail,4860,-17.52513,146.03163,11377
Woolworths,38-40 Dickinson St,Wongaling Beach ,4852,-17.89886,146.09417,11308
Woolworths,20-38 Main St,Burdell,4818,-19.25376,146.69996,11143
Woolworths,393-399 Flinders St,Townsville,4810,-19.26063,146.81567,11052
Woolworths,Cnr Nathan St And Fulham Rd,Vincent,4814,-19.28826,146.76124,11086
Woolworths,28 Palm Dr,Deeragun,4818,-19.24579,146.67565,11146
Woolworths,64-70 Queen St,Ayr,4807,-19.57359,147.4082,11019
Woolworths,Cnr Richmond And The Soldier Rds,Bowen,4805,-20.00254,148.24014,11002
Woolworths,Gill St,Charters Towers,4820,-20.07685,146.26382,11169
Woolworths,2-30 Lakeside Dr,Idalia,4811,-19.31558,146.81735,11058
Woolworths,148 Bamford Lane,Kirwan,4817,-19.30388,146.74166,11134
Woolworths,Cnr Isa & Miles St,Mount Isa,4825,-20.71756,139.49393,11230
Woolworths,310-330 Ross River Rd,Aitkenvale,4814,-19.29924,146.76307,11076
Woolworths,1225 Riverway Dr,Rasmussen,4815,-19.3628,146.73172,11092
Woolworths,85 Burnda St,Thuringowa,4817,-19.30041,146.72648,11136
Woolworths,13 Hervey Range Rd,Kirwan,4817,-19.31934,146.71379,11134
Woolworths,Cnr Shute Harbour Rd & Waterson Way,Airlie Beach,4802,-20.26934,148.71983,10985
Woolworths,41-45 Oak St,Andergrove,4740,-21.09697,149.18495,10828
Woolworths,"Caneland Shop. Ctr, ManGr Rd",Mackay,4740,-21.13913,149.17965,10852
Woolworths,8-28 Galbraith Park Dr,Cannonvale,4802,-20.29031,148.6746,10986
Woolworths,213 - 247 Anzac Ave,Marian,4753,-21.14607,148.95383,10926
Woolworths,54A Philip St,North Mackay,4740,-21.118,149.17281,10864
Woolworths,Cnr Broadsound & Boundary Rds,South Mackay,4740,-21.17764,149.17851,10873
Woolworths,93 Main St,Proserpine,4800,-20.40156,148.58582,10977
